N,t
35700000,0.715022
35800000,0.687777
35900000,0.699998
36000000,0.75477
36100000,0.721932
36200000,0.72349
36300000,0.730759
36400000,0.731526
36500000,0.727296
36600000,0.706165
36700000,0.705266
36800000,0.733699
36900000,0.73783
37000000,0.772911
37100000,0.755988
37200000,0.808123
37300000,0.84362
37400000,0.753088
37500000,0.740194
37600000,0.7474
37700000,0.743338
37800000,0.754935
37900000,0.73687
38000000,0.760551
38100000,0.737619
38200000,0.771417
38300000,0.751932
38400000,0.775863
38500000,0.797232
38600000,0.780958
38700000,0.75396
38800000,0.769238
38900000,0.767072
39000000,0.749543
39100000,0.7496
39200000,0.748605
39300000,0.793931
39400000,0.77714
39500000,0.781279
39600000,0.808741
39700000,0.842409
39800000,0.800753
39900000,0.790177
40000000,0.777853
40100000,0.794136
40200000,0.79347
40300000,0.778036
40400000,0.781556
40500000,0.797891
40600000,0.810192
40700000,0.825585
40800000,0.801451
40900000,0.844386
41000000,0.817403
41100000,0.854776
41200000,0.85074
41300000,0.817662
41400000,0.81106
41500000,0.824475
41600000,0.814541
41700000,0.831067
41800000,0.888911
41900000,0.850592
42000000,0.822178
42100000,0.860573
42200000,0.837015
42300000,0.824785
42400000,0.826511
42500000,0.837875
42600000,0.848011
42700000,0.850845
42800000,0.852227
42900000,0.847638
43000000,0.858969
43100000,0.858456
43200000,0.869042
43300000,0.863846
43400000,0.868154
43500000,0.879634
43600000,0.8868
43700000,0.908052
43800000,0.869673
43900000,0.878683
44000000,0.885823
44100000,0.905957
44200000,0.868939
44300000,0.924284
44400000,0.941184
44500000,0.898697
44600000,0.854631
44700000,0.915265
44800000,0.88576
44900000,0.889955
45000000,0.871495
45100000,0.890936
45200000,0.894359
45300000,0.90908
45400000,0.940358
45500000,0.904928
45600000,0.909361
45700000,0.884417
45800000,0.889749
45900000,0.891385
46000000,0.885807
46100000,0.883847
46200000,0.90913
46300000,0.899509
46400000,0.903594
46500000,0.916583
46600000,0.931942
46700000,0.929135
46800000,0.930767
46900000,0.933344
47000000,0.941749
47100000,0.925914
47200000,0.954876
47300000,0.9231
47400000,0.939228
47500000,0.967665
47600000,0.946668
47700000,0.94574
47800000,0.956248
47900000,1.01352
48000000,0.988628
48100000,0.942377
48200000,0.983177
48300000,0.960565
48400000,0.97789
48500000,0.965812
48600000,0.992995
48700000,1.06374
48800000,0.949062
48900000,0.933332
49000000,0.991255
49100000,0.966971
49200000,0.982923
49300000,0.960639
49400000,0.990333
49500000,0.95992
49600000,0.958768
49700000,0.992436
49800000,0.977777
49900000,0.959765
50000000,0.959113
50100000,0.95773
50200000,0.975593
50300000,0.962213
50400000,0.971088
50500000,0.959153
50600000,0.964867
50700000,0.997233
50800000,1.03553
50900000,1.01236
51000000,0.968227
51100000,0.978322
51200000,0.986132
51300000,0.977287
51400000,0.999047
51500000,1.104
51600000,1.02734
51700000,1.01334
51800000,0.992014
51900000,0.993857
52000000,0.994049
52100000,1.01546
52200000,1.02277
52300000,0.996221
52400000,1.0362
52500000,1.00574
52600000,1.00058
52700000,1.01248
52800000,1.02638
52900000,1.00484
53000000,1.01841
53100000,1.02774
53200000,1.0197
53300000,1.08135
53400000,1.26137
53500000,1.05196
53600000,1.0349
53700000,1.07774
53800000,1.08056
53900000,1.07037
54000000,1.02412
54100000,1.03527
54200000,1.02434
54300000,1.0407
54400000,1.03324
54500000,1.04436
54600000,1.04045
54700000,1.0376
54800000,1.04361
54900000,1.04367
55000000,1.06361
55100000,1.0627
55200000,1.05966
55300000,1.05571
55400000,1.08079
55500000,1.06971
55600000,1.05921
55700000,1.06417
55800000,1.05209
55900000,1.06523
56000000,1.05988
56100000,1.07909
56200000,1.06741
56300000,1.09772
56400000,1.13524
56500000,1.14623
56600000,1.12222
56700000,1.11906
56800000,1.06726
56900000,1.07126
57000000,1.10715
57100000,1.18878
57200000,1.12673
57300000,1.08843
57400000,1.09387
57500000,1.0985
57600000,1.09047
57700000,1.10258
57800000,1.09685
57900000,1.10373
58000000,1.10086
58100000,1.11253
58200000,1.10233
58300000,1.11197
58400000,1.11848
58500000,1.11339
58600000,1.10744
58700000,1.11421
58800000,1.11627
58900000,1.12343
59000000,1.16908
59100000,1.18121
59200000,1.18267
59300000,1.17476
59400000,1.22575
59500000,1.13848
59600000,1.13379
59700000,1.14368
59800000,1.14108
59900000,1.23047
60000000,1.1994
60100000,1.25251
60200000,1.16925
60300000,1.19976
60400000,1.2007
60500000,1.17698
60600000,1.1686
60700000,1.19398
60800000,1.18961
60900000,1.19586
61000000,1.20382
61100000,1.19107
61200000,1.18217
61300000,1.1982
61400000,1.20365
61500000,1.16483
61600000,1.21224
61700000,1.16816
61800000,1.21941
61900000,1.20333
62000000,1.16383
62100000,1.21483
62200000,1.21905
62300000,1.25491
62400000,1.21514
62500000,1.17803
62600000,1.20712
62700000,1.18748
62800000,1.18697
62900000,1.35204
63000000,1.35416
63100000,1.30393
63200000,1.25725
63300000,1.24463
63400000,1.20426
63500000,1.22968
63600000,1.23918
63700000,1.27789
63800000,1.2696
63900000,1.24408
64000000,1.25429
64100000,1.27095
64200000,1.27112
64300000,1.25339
64400000,1.25354
64500000,1.24755
64600000,1.31574
64700000,1.24647
64800000,1.27361
64900000,1.27822
65000000,1.3139
65100000,1.25659
65200000,1.29786
65300000,1.30868
65400000,1.35016
65500000,1.36337
65600000,1.28923
65700000,1.28022
65800000,1.26117
65900000,1.35689
66000000,1.28623
66100000,1.32372
66200000,1.3138
66300000,1.35255
66400000,1.29742
66500000,1.29675
